State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Eric Hass Socialist Labor_Votes,Eric Hass Socialist Labor_Pct,Orval Faubus National States' Rights_Votes,Orval Faubus National States' Rights_Pct,Farrell Dobbs Socialist Workers_Votes,Farrell Dobbs Socialist Workers_Pct,All Others Various_Votes,All Others Various_Pct,Others_Votes,Others_Pct,Farrell Dobbs No Party Listed_Votes,Farrell Dobbs No Party Listed_Pct,Rutherford Decker Prohibition_Votes,Rutherford Decker Prohibition_Pct,Unpledged electors States’ Rights_Votes,Unpledged electors States’ Rights_Pct,Various Candidates Write-ins_Votes,Various Candidates Write-ins_Pct,Lars Daly Independent_Votes,Lars Daly Independent_Pct,Eric Hass Industrial Government_Votes,Eric Hass Industrial Government_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Orval Faubus National States’ Rights_Votes,Orval Faubus National States’ Rights_Pct,C. Benton Coiner Virginia Conservative_Votes,C. Benton Coiner Virginia Conservative_Pct,Total_Votes,Winner,Winner_Pct
Arkansas,Dallas__AR,1639,62.68,659,25.2,0,0.0,0,0.0,317,12.12,,,,,,,,,,,,,,,,,,,,,,,,,2615,Democrat,62.68
Arkansas,Desha__AR,2502,63.57,1063,27.01,0,0.0,0,0.0,371,9.43,,,,,,,,,,,,,,,,,,,,,,,,,3936,Democrat,63.57
Arkansas,Drew__AR,2107,62.49,889,26.36,0,0.0,0,0.0,376,11.15,,,,,,,,,,,,,,,,,,,,,,,,,3372,Democrat,62.49
Arkansas,Faulkner__AR,3820,57.8,2426,36.71,0,0.0,0,0.0,363,5.49,,,,,,,,,,,,,,,,,,,,,,,,,6609,Democrat,57.8
Arkansas,Franklin__AR,2025,53.99,1631,43.48,0,0.0,0,0.0,95,2.53,,,,,,,,,,,,,,,,,,,,,,,,,3751,Democrat,53.99
Arkansas,Fulton__AR,703,38.02,1127,60.95,0,0.0,0,0.0,19,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1849,Republican,60.95
Arkansas,Garland__AR,6333,45.42,7204,51.66,0,0.0,0,0.0,407,2.92,,,,,,,,,,,,,,,,,,,,,,,,,13944,Republican,51.66
Arkansas,Grant__AR,1394,61.44,563,24.81,0,0.0,0,0.0,312,13.75,,,,,,,,,,,,,,,,,,,,,,,,,2269,Democrat,61.44
Arkansas,Greene__AR,2774,49.81,2658,47.73,0,0.0,0,0.0,137,2.46,,,,,,,,,,,,,,,,,,,,,,,,,5569,Democrat,49.81
Arkansas,Hempstead__AR,2596,54.55,1948,40.93,0,0.0,0,0.0,215,4.52,,,,,,,,,,,,,,,,,,,,,,,,,4759,Democrat,54.55
Arkansas,Hot_Spring__AR,3454,59.0,1732,29.59,0,0.0,0,0.0,668,11.41,,,,,,,,,,,,,,,,,,,,,,,,,5854,Democrat,59.0
Arkansas,Howard__AR,1366,49.95,1225,44.79,0,0.0,0,0.0,144,5.27,,,,,,,,,,,,,,,,,,,,,,,,,2735,Democrat,49.95
Arkansas,Independence__AR,2487,47.02,2639,49.9,0,0.0,0,0.0,163,3.08,,,,,,,,,,,,,,,,,,,,,,,,,5289,Republican,49.9
Arkansas,Izard__AR,1340,59.61,808,35.94,0,0.0,0,0.0,100,4.45,,,,,,,,,,,,,,,,,,,,,,,,,2248,Democrat,59.61
Arkansas,Jackson__AR,2860,55.44,1986,38.5,0,0.0,0,0.0,313,6.07,,,,,,,,,,,,,,,,,,,,,,,,,5159,Democrat,55.44
Arkansas,Jefferson__AR,8442,55.41,4839,31.76,0,0.0,0,0.0,1954,12.83,,,,,,,,,,,,,,,,,,,,,,,,,15235,Democrat,55.41
Arkansas,Johnson__AR,1938,55.01,1490,42.29,0,0.0,0,0.0,95,2.7,,,,,,,,,,,,,,,,,,,,,,,,,3523,Democrat,55.01
Arkansas,Lafayette__AR,1286,55.31,713,30.67,0,0.0,0,0.0,326,14.02,,,,,,,,,,,,,,,,,,,,,,,,,2325,Democrat,55.31
Arkansas,Lawrence__AR,2074,51.02,1800,44.28,0,0.0,0,0.0,191,4.7,,,,,,,,,,,,,,,,,,,,,,,,,4065,Democrat,51.02
Arkansas,Lee__AR,1409,52.17,1034,38.28,0,0.0,0,0.0,258,9.55,,,,,,,,,,,,,,,,,,,,,,,,,2701,Democrat,52.17
Arkansas,Lincoln__AR,1780,67.27,626,23.66,0,0.0,0,0.0,240,9.07,,,,,,,,,,,,,,,,,,,,,,,,,2646,Democrat,67.27
Arkansas,Little_River__AR,1514,65.17,692,29.79,0,0.0,0,0.0,117,5.04,,,,,,,,,,,,,,,,,,,,,,,,,2323,Democrat,65.17
Arkansas,Logan__AR,2636,55.33,2014,42.28,0,0.0,0,0.0,114,2.39,,,,,,,,,,,,,,,,,,,,,,,,,4764,Democrat,55.33
Arkansas,Lonoke__AR,2991,55.93,1560,29.17,0,0.0,0,0.0,797,14.9,,,,,,,,,,,,,,,,,,,,,,,,,5348,Democrat,55.93
Arkansas,Madison__AR,1702,40.51,2445,58.2,0,0.0,0,0.0,54,1.29,,,,,,,,,,,,,,,,,,,,,,,,,4201,Republican,58.2
Arkansas,Marion__AR,968,48.21,1016,50.6,0,0.0,0,0.0,24,1.2,,,,,,,,,,,,,,,,,,,,,,,,,2008,Republican,50.6
Arkansas,Miller__AR,4550,56.06,3113,38.35,0,0.0,0,0.0,454,5.59,,,,,,,,,,,,,,,,,,,,,,,,,8117,Democrat,56.06
Arkansas,Mississippi__AR,5138,48.54,4983,47.08,0,0.0,0,0.0,464,4.38,,,,,,,,,,,,,,,,,,,,,,,,,10585,Democrat,48.54
Arkansas,Monroe__AR,1856,60.5,833,27.15,0,0.0,0,0.0,379,12.35,,,,,,,,,,,,,,,,,,,,,,,,,3068,Democrat,60.5
Arkansas,Montgomery__AR,788,46.99,836,49.85,0,0.0,0,0.0,53,3.16,,,,,,,,,,,,,,,,,,,,,,,,,1677,Republican,49.85
Arkansas,Nevada__AR,1605,58.34,937,34.06,0,0.0,0,0.0,209,7.6,,,,,,,,,,,,,,,,,,,,,,,,,2751,Democrat,58.34
