State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Ross Perot_Votes,Ross Perot_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Ross Perot Reform_Votes,Ross Perot Reform_Pct,Harry Browne Libertarian_Votes,Harry Browne Libertarian_Pct,Ralph Nader Green_Votes,Ralph Nader Green_Pct,Ralph Nader [ 2 ] Green_Votes,Ralph Nader [ 2 ] Green_Pct,Harry Browne [ 2 ] Libertarian_Votes,Harry Browne [ 2 ] Libertarian_Pct,All Others [ a ] Various_Votes,All Others [ a ] Various_Pct,Harry E. Browne Libertarian_Votes,Harry E. Browne Libertarian_Pct,Others_Votes,Others_Pct,Ralph Nader [ 4 ] Green_Votes,Ralph Nader [ 4 ] Green_Pct,John Hagelin [ 4 ] Natural Law_Votes,John Hagelin [ 4 ] Natural Law_Pct,Ross Perot [ 3 ] Reform_Votes,Ross Perot [ 3 ] Reform_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,Howard Phillips Independent_Votes,Howard Phillips Independent_Pct,John Hagelin Natural Law_Votes,John Hagelin Natural Law_Pct,No Candidate [ 3 ] None of the Above_Votes,No Candidate [ 3 ] None of the Above_Pct,Ralph Nader [ 3 ] Green_Votes,Ralph Nader [ 3 ] Green_Pct,Ross Perot [ 10 ] Reform_Votes,Ross Perot [ 10 ] Reform_Pct,Harry Browne [ 10 ] Libertarian_Votes,Harry Browne [ 10 ] Libertarian_Pct,Various candidates [ 10 ] Other parties_Votes,Various candidates [ 10 ] Other parties_Pct,Ross Perot Independence_Votes,Ross Perot Independence_Pct,Ralph Nader [ 5 ] Green_Votes,Ralph Nader [ 5 ] Green_Pct,Various candidates [ 5 ] Other parties_Votes,Various candidates [ 5 ] Other parties_Pct,Howard Phillips U.S. Taxpayers_Votes,Howard Phillips U.S. Taxpayers_Pct,Ralph Nader [ 4 ] Pacific Green_Votes,Ralph Nader [ 4 ] Pacific Green_Pct,Various candidates [ 13 ] Other parties_Votes,Various candidates [ 13 ] Other parties_Pct,Harry Browne [ 3 ] Libertarian_Votes,Harry Browne [ 3 ] Libertarian_Pct,John Hagelin [ 3 ] Natural Law_Votes,John Hagelin [ 3 ] Natural Law_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Limestone__AL,8045,38.9,10862,52.52,1659,8.02,116,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20682,Republican,52.52
Alabama,Lowndes__AL,3970,72.96,1369,25.16,72,1.32,30,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5441,Democrat,72.96
Alabama,Macon__AL,7018,85.55,987,12.03,150,1.83,48,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8203,Democrat,85.55
Alabama,Madison__AL,42259,41.9,50390,49.96,7437,7.37,772,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100858,Republican,49.96
Alabama,Marengo__AL,4899,52.71,4013,43.18,337,3.63,45,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9294,Democrat,52.71
Alabama,Marion__AL,5049,46.62,4742,43.79,979,9.04,60,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10830,Democrat,46.62
Alabama,Marshall__AL,8722,37.43,12323,52.89,2150,9.23,105,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23300,Republican,52.89
Alabama,Mobile__AL,54749,42.08,66775,51.32,7555,5.81,1024,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130103,Republican,51.32
Alabama,Monroe__AL,3815,43.86,4382,50.38,486,5.59,15,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8698,Republican,50.38
Alabama,Montgomery__AL,38382,48.74,37784,47.98,2036,2.59,542,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78744,Democrat,48.74
Alabama,Morgan__AL,14616,36.53,21765,54.39,3348,8.37,284,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40013,Republican,54.39
Alabama,Perry__AL,4053,68.66,1703,28.85,119,2.02,28,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5903,Democrat,68.66
Alabama,Pickens__AL,4018,51.69,3322,42.74,403,5.18,30,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7773,Democrat,51.69
Alabama,Pike__AL,4514,43.65,5281,51.07,503,4.86,43,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10341,Republican,51.07
Alabama,Randolph__AL,3023,43.38,3304,47.41,603,8.65,39,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,Republican,47.41
Alabama,Russell__AL,7834,57.2,5025,36.69,792,5.78,44,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13695,Democrat,57.2
Alabama,St__Clair__AL,6187,30.2,12762,62.29,1417,6.92,123,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20489,Republican,62.29
Alabama,Shelby__AL,11280,22.22,37090,73.05,2035,4.01,368,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50773,Republican,73.05
Alabama,Sumter__AL,4706,72.89,1561,24.18,172,2.66,17,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6456,Democrat,72.89
Alabama,Talladega__AL,10385,45.59,10931,47.99,1335,5.86,127,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22778,Republican,47.99
Alabama,Tallapoosa__AL,6071,40.98,7627,51.48,1038,7.01,79,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14815,Republican,51.48
Alabama,Tuscaloosa__AL,23067,42.42,27939,51.38,3048,5.6,328,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54382,Republican,51.38
Alabama,Walker__AL,12929,51.84,9837,39.44,2012,8.07,161,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24939,Democrat,51.84
Alabama,Washington__AL,3935,51.12,2900,37.68,819,10.64,43,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7697,Democrat,51.12
Alabama,Wilcox__AL,3303,68.15,1454,30,71,1.46,19,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4847,Democrat,68.15
Alabama,Winston__AL,3120,36.17,4728,54.8,723,8.38,56,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8627,Republican,54.8
Arizona,Apache__AZ,12394,66.33,4761,25.48,1296,6.94,29,0.16,,,204,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18684,Democrat,66.33
Arizona,Cochise__AZ,13782,43.17,14365,45,3346,10.48,47,0.15,,,383,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31923,Republican,45
Arizona,Coconino__AZ,20475,53.15,13638,35.4,3666,9.52,137,0.35,,,609,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38522,Democrat,53.15
Arizona,Gila__AZ,8577,49.26,6407,36.8,2211,12.7,12,0.07,,,204,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17411,Democrat,49.26
Arizona,Graham__AZ,3938,42.36,4222,45.42,1034,11.12,2,0.02,,,100,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9296,Republican,45.42
Arizona,Greenlee__AZ,1755,51.72,1159,34.16,426,12.56,0,0,,,53,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3393,Democrat,51.72
Arizona,La_Paz__AZ,1964,43.71,1902,42.33,597,13.29,0,0,,,30,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4493,Democrat,43.71
Arizona,Maricopa__AZ,363991,44.53,386015,47.22,58479,7.15,1396,0.18,,,7551,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817432,Republican,47.22
Arizona,Mohave__AZ,16629,40.04,17997,43.33,6369,15.33,57,0.14,,,481,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41533,Republican,43.33
Arizona,Navajo__AZ,12912,51.78,9262,37.14,2461,9.87,31,0.12,,,272,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24938,Democrat,51.78
Arizona,Pima__AZ,137983,52.16,104121,39.36,18809,7.11,745,0.28,,,2894,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264552,Democrat,52.16
Arizona,Pinal__AZ,19579,53.07,13034,35.33,3972,10.77,17,0.04,,,293,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36895,Democrat,53.07
Arizona,Santa_Cruz__AZ,5241,64.17,2256,27.62,600,7.35,5,0.06,,,65,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8167,Democrat,64.17
Arizona,Yavapai__AZ,21801,36.64,29921,50.29,6649,11.18,115,0.19,,,1009,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59495,Republican,50.29
Arizona,Yuma__AZ,12267,44.33,13013,47.03,2157,7.8,24,0.08,,,210,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27671,Republican,47.03
Arkansas,Arkansas__AR,4220,63,1910,28.52,463,6.91,105,1.57,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6698,Democrat,63
Arkansas,Ashley__AR,5011,60.51,2428,29.32,704,8.5,138,1.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8281,Democrat,60.51
Arkansas,Baxter__AR,6703,43.23,6877,44.35,1572,10.14,353,2.28,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15505,Republican,44.35
Arkansas,Benton__AR,17205,37.59,23748,51.89,4147,9.06,668,1.46,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45768,Republican,51.89
Arkansas,Boone__AR,5745,43.32,6093,45.94,1132,8.54,292,2.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13262,Republican,45.94
Arkansas,Bradley__AR,2566,64.67,1146,28.88,221,5.57,35,0.88,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3968,Democrat,64.67
