State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Gary Johnson Libertarian_Votes,Gary Johnson Libertarian_Pct,Charles Baldwin Reform_Votes,Charles Baldwin Reform_Pct,Gary Johnson [ 21 ] Libertarian_Votes,Gary Johnson [ 21 ] Libertarian_Pct,Jill Stein [ 21 ] Green_Votes,Jill Stein [ 21 ] Green_Pct,Jill Stein Green_Votes,Jill Stein Green_Pct,Virgil Goode Constitution_Votes,Virgil Goode Constitution_Pct,Total_Votes,Winner,Winner_Pct
Arizona,Pima__AZ,201251,52.52,174779,45.61,7143,1.86,,,,,,,,,,,,,383173,Democrat,52.52
Arizona,Pinal__AZ,44306,40.77,62079,57.12,2297,2.11,,,,,,,,,,,,,108682,Republican,57.12
Arizona,Santa_Cruz__AZ,9486,68.19,4235,30.44,190,1.37,,,,,,,,,,,,,13911,Democrat,68.19
Arizona,Yavapai__AZ,33918,33.69,64468,64.04,2281,2.27,,,,,,,,,,,,,100667,Republican,64.04
Arizona,Yuma__AZ,18059,42.92,23352,55.5,662,1.57,,,,,,,,,,,,,42073,Republican,55.5
Arkansas,Arkansas__AR,2455,37.8,3897,60.01,142,2.19,,,,,,,,,,,,,6494,Republican,60.01
Arkansas,Ashley__AR,2859,36.09,4867,61.44,195,2.47,,,,,,,,,,,,,7921,Republican,61.44
Arkansas,Baxter__AR,5172,26.74,13688,70.78,479,2.48,,,,,,,,,,,,,19339,Republican,70.78
Arkansas,Benton__AR,22636,28.56,54646,68.95,1975,2.49,,,,,,,,,,,,,79257,Republican,68.95
Arkansas,Boone__AR,3772,24.51,11159,72.5,460,2.99,,,,,,,,,,,,,15391,Republican,72.5
Arkansas,Bradley__AR,1449,39.68,2134,58.43,69,1.89,,,,,,,,,,,,,3652,Republican,58.43
Arkansas,Calhoun__AR,660,30.36,1458,67.07,56,2.57,,,,,,,,,,,,,2174,Republican,67.07
Arkansas,Carroll__AR,3696,36.3,6125,60.15,362,3.55,,,,,,,,,,,,,10183,Republican,60.15
Arkansas,Chicot__AR,2649,60.74,1670,38.29,42,0.97,,,,,,,,,,,,,4361,Democrat,60.74
Arkansas,Clark__AR,3811,45.32,4343,51.65,255,3.03,,,,,,,,,,,,,8409,Republican,51.65
Arkansas,Clay__AR,1738,34.01,3225,63.11,147,2.88,,,,,,,,,,,,,5110,Republican,63.11
Arkansas,Cleburne__AR,2620,22.5,8693,74.64,334,2.86,,,,,,,,,,,,,11647,Republican,74.64
Arkansas,Cleveland__AR,845,25.87,2313,70.82,108,3.31,,,,,,,,,,,,,3266,Republican,70.82
Arkansas,Columbia__AR,3557,37.62,5790,61.24,108,1.14,,,,,,,,,,,,,9455,Republican,61.24
Arkansas,Conway__AR,3005,38.87,4514,58.4,211,2.73,,,,,,,,,,,,,7730,Republican,58.4
Arkansas,Craighead__AR,10527,33.21,20350,64.2,823,2.59,,,,,,,,,,,,,31700,Republican,64.2
Arkansas,Crawford__AR,4881,23.7,15145,73.55,565,2.75,,,,,,,,,,,,,20591,Republican,73.55
Arkansas,Crittenden__AR,9487,56.75,6998,41.86,231,1.39,,,,,,,,,,,,,16716,Democrat,56.75
Arkansas,Cross__AR,2279,34.11,4269,63.9,133,1.99,,,,,,,,,,,,,6681,Republican,63.9
Arkansas,Dallas__AR,1337,43.35,1665,53.99,82,2.66,,,,,,,,,,,,,3084,Republican,53.99
Arkansas,Desha__AR,2443,55.27,1896,42.9,81,1.83,,,,,,,,,,,,,4420,Democrat,55.27
Arkansas,Drew__AR,2630,39.65,3887,58.6,116,1.75,,,,,,,,,,,,,6633,Republican,58.6
Arkansas,Faulkner__AR,13621,32.85,26722,64.45,1117,2.7,,,,,,,,,,,,,41460,Republican,64.45
Arkansas,Franklin__AR,1726,26.39,4631,70.81,183,2.8,,,,,,,,,,,,,6540,Republican,70.81
Arkansas,Fulton__AR,1452,32.11,2949,65.21,121,2.68,,,,,,,,,,,,,4522,Republican,65.21
Arkansas,Garland__AR,13804,33.89,26014,63.87,910,2.24,,,,,,,,,,,,,40728,Republican,63.87
Arkansas,Grant__AR,1468,22.66,4829,74.53,182,2.81,,,,,,,,,,,,,6479,Republican,74.53
Arkansas,Greene__AR,4000,29.07,9071,65.92,690,5.01,,,,,,,,,,,,,13761,Republican,65.92
Arkansas,Hempstead__AR,2468,35.66,4284,61.9,169,2.44,,,,,,,,,,,,,6921,Republican,61.9
